uid,d15N,d13C,sampleID,individualID
249b959a-172e-4e91-a57f-3db0c2c3ecae,-1.7,-30.2,GWdltx9aizxOwbhZQguihZXWJuisQl/x5kY2TJUSvdM=,NEON.PLA.D06.UKFS.02216
e9392909-e702-4cf9-8782-07fb8522c2d5,-3.2,-27.1,GWdltx9aizwB2G6k1nROTvajVW6PL5WSXYwcKEEpGIo=,NEON.PLA.D06.UKFS.00187
2115cf2d-2396-490f-a8e9-1466fb660e74,1.4,-28.8,GWdltx9aizy3LyScbmoHDVfDothklzDRoN2k3mBflDE=,NEON.PLA.D06.UKFS.00022
ca87e199-d713-4c72-8236-5bc58496acfc,-0.5,-30.9,GWdltx9aizwykWGklWP55Z+TJSDS0uiq86ssNyG+0M0=,NEON.PLA.D06.UKFS.00079
80d082fc-6b19-4eca-b600-086d6eea0b81,1.4,-29.3,GWdltx9aizyjTl3s5dYKYAw7c4XLQizyhUKrBuixZ6Y=,NEON.PLA.D06.UKFS.00085
a30eadee-4644-47e6-8910-91b767e0baa3,-3.3,-28.6,GWdltx9aizxWRqD2B7t+KVF/yFbERXmzPCNSoZXmGLk=,NEON.PLA.D06.UKFS.00006
2ccb49d2-c45d-41f9-b749-5d713cafc955,-3.8,-26.2,GWdltx9aizxrChEqgglNezk7yTwIE5ZQMQjjTS1/Wx8=,NEON.PLA.D06.UKFS.00021
37ad7a67-ee71-44c4-a375-e34c30f1ef29,-0.4,-26.1,GWdltx9aizzZsNar0C0gI5GlQgXkCohh3GgbsOtPc38=,NEON.PLA.D06.UKFS.02202
cd0ac4c6-41bd-41fd-a336-d6597e33e215,0.7,-30.3,GWdltx9aizzewq+Bhmn48e8HydNfhTGQdKsjeW+8Zic=,NEON.PLA.D06.UKFS.02398
33ba78c9-23d0-46c9-932f-4c8f02a356fd,0,-27.8,GWdltx9aizyIXfXbHC4zfGjXmT91MOgAJt3edimSaVo=,NEON.PLA.D06.UKFS.02399
99810acf-b31f-48dd-9c13-564296dc5fe8,-2,-31,GWdltx9aizxDEJks+UqN+DtvJBnyBinfzifOi7N8Qrk=,NEON.PLA.D06.UKFS.03602
ab2bb0b2-243d-4647-a711-7afd171fbcba,-1.9,-31,GWdltx9aizxDEJks+UqN+DtvJBnyBinfzifOi7N8Qrk=,NEON.PLA.D06.UKFS.03602
5b8231a1-bc47-46dc-b363-ab637bcd3de1,-1.5,-27.3,GWdltx9aizxHHFq5Gd5uOTdSmsmARmTlerUHlSyFCWc=,NEON.PLA.D06.UKFS.03599
0be1e723-27c8-4813-9956-cc7fbc3b3bc7,-0.7,-26.8,GWdltx9aizxSmu/kSEapch0miRt+v03zRDpWB/Xxy9E=,NEON.PLA.D06.UKFS.03597
760a0fa1-fce8-4ebd-9ecf-a32112a9704b,-0.1,-28.7,GWdltx9aizy7yN/xTkdtuNgPw68eqjbx32YNnxmaeYw=,NEON.PLA.D06.UKFS.03601
07e553b6-92e5-45f9-8a02-32da8dbd8b64,-1.7,-30.7,GWdltx9aizxsKmJ5Hh0P2W40qn3VablroCyuxXdIhKI=,NEON.PLA.D06.UKFS.03603
43e33450-09d9-4f1b-9a5d-b634cf70d04b,1.2,-28.2,GWdltx9aizzQuZYTexyYCNxG7My+Vs+OijqMTaglq7s=,NEON.PLA.D06.UKFS.03597
775788a9-12ab-4909-b607-128e853d5480,-0.9,-29.2,GWdltx9aizxw8eZ6XZEsHFBMLNq+jTB9nXoXjG/XAiU=,NEON.PLA.D06.UKFS.03596
4c194aa7-6c7d-41c7-812c-08db1403ef0b,-0.7,-29.8,GWdltx9aizwUIvwly+CNPGPGlcuZQNSxyKjD7EEv1Jo=,NEON.PLA.D06.UKFS.03594
